config_id	configuration	exact_matches	total_responses	exact_match_accuracy	correctness_mean	correctness_sd	confidence_mean	confidence_sd	execution_time_mean_sec	execution_time_sd_sec
A0	Cosine baseline	20	50	0.4	0.6833334	0.3234066436282625	0.71766758	0.01751946060125069	4.7016	1.310944526294079
A1	+ Evidence quality	19	50	0.38	0.6800001	0.3296394264555886	0.7227856	0.012930839950936484	4.9458	1.4288755104941075
A2	+ Temporal recency	23	50	0.46	0.66833338	0.38113465856468626	0.7497088	0.009218254507403528	5.3726	2.0106058483827747
A3	+ Hybrid context	25	50	0.5	0.7416667	0.3291618496160563	0.74970874	0.009218404007268532	6.818439999999999	4.861986812161531
